ARG,ID,RESULTNAME,DATENTYP,L/H,EINHEIT,NAME,MUL,DIV,ADD,説明(日本語)
LANK_LAM_B1,0x5C40,STAT_LAMBDAWERT_NACH_KAT_BANK_1_WERT,unsigned int,high,-,-,1,16384,0,触媒後のラムダ値(バンク1)
LANK_LAM_B2,0x5C41,STAT_LAMBDAWERT_NACH_KAT_BANK_2_WERT,unsigned int,high,-,-,1,16384,0,触媒後のラムダ値(バンク2)
KAT_OBD_INT_B1,0x5C42,STAT_MITTLERE_ABWEICHUNG_LAMBDAMITTELWERT_NACH_KAT_BANK_1_WERT,unsigned int,high,-,-,1,16384,0,触媒後ラムダ平均値の平均偏差(触媒診断用、バンク1)
KAT_OBD_INT_B2,0x5C43,STAT_MITTLERE_ABWEICHUNG_LAMBDAMITTELWERT_NACH_KAT_BANK_2_WERT,unsigned int,high,-,-,1,16384,0,触媒後ラムダ平均値の平均偏差(触媒診断用、バンク2)
FST_MAX_NV,0x5C44,STAT_FUELLSTAND_BEI_DIAGNOSEBEGINN_WERT,unsigned int,high,L,-,1,2,0,診断開始時点の燃料残量
FST_LINKS,0x5C45,STAT_GEBERWERT_LINKE_TANKHAELFTE_WERT,unsigned int,high,L,-,1,2,0,燃料タンク左側センダーの生値
FST_RECHTS,0x5C46,STAT_GEBERWERT_RECHTE_TANKHAELFTE_WERT,unsigned int,high,L,-,1,2,0,燃料タンク右側センダーの生値
BSD_ERROR_CNT_NV_0,0x5C47,STAT_BSD_FEHLERZAEHLER_IBS_WERT,unsigned int,high,-,-,1,1,0,バッテリーセンサー(IBS)とのBSD通信エラーカウンタ
BSD_ERROR_CNT_NV_4,0x5C48,STAT_BSD_FEHLERZAEHLER_OELSENSOR_WERT,unsigned int,high,-,-,1,1,0,オイルセンサーとのBSD通信エラーカウンタ
BSD_ERROR_CNT_NV_6,0x5C49,STAT_BSD_FEHLERZAEHLER_GENERATOR_WERT,unsigned int,high,-,-,1,1,0,オルタネーターとのBSD通信エラーカウンタ
LAVK_OBD_DYN_NORM_B1,0x5C4A,STAT_DYN_LSU_DIAGNOSE_NORMIERTES_INTEGRAL_-_VOR_KAT_BANK_1_WERT,unsigned int,high,-,-,1,16384,0,触媒前広域O2センサー動的診断の正規化積分値(バンク1)
LAVK_OBD_DYN_NORM_B2,0x5C4B,STAT_DYN_LSU_DIAGNOSE_NORMIERTES_INTEGRAL_-_VOR_KAT_BANK_2_WERT,unsigned int,high,-,-,1,16384,0,触媒前広域O2センサー動的診断の正規化積分値(バンク2)
TIME_BZ_NV,0x5C4C,STAT_DME_BETRIEBSSTUNDENZAEHLER_WERT,unsigned int,high,h,-,1,6,0,DME(エンジンECU)の累積稼働時間
LANK_ST_EIN_B1,0x5C4D,STAT_SONDENSTATUS_NACH_KAT_BANK_1_WERT,unsigned int,high,0-n,lank_st_equ,1,1,0,触媒後O2センサーの状態(バンク1)
LANK_ST_EIN_B2,0x5C4E,STAT_SONDENSTATUS_NACH_KAT_BANK_2_WERT,unsigned int,high,0-n,lank_st_equ,1,1,0,触媒後O2センサーの状態(バンク2)
LAM_B1_LAVK_ST,0x5C4F,STAT_SONDENSTATUS_VOR_KAT_BANK_1_WERT,unsigned int,high,0-n,lavk_st_equ,1,1,0,触媒前O2センサーの状態(バンク1)
LAM_B2_LAVK_ST,0x5C50,STAT_SONDENSTATUS_VOR_KAT_BANK_2_WERT,unsigned int,high,0-n,lavk_st_equ,1,1,0,触媒前O2センサーの状態(バンク2)
ABSCH_KORR,0x5C51,STAT_KORREKTURWERT_ABSCHALTUNG_WERT,signed int,high,-,-,50,32768,0,燃料カット/エンジン停止時の補正値
D_SOC,0x5C52,STAT_ABSTAND_ZUR_STARTFAEHIGKEITSGRENZE_WERT,signed int,high,-,-,100,32768,0,バッテリー残量の始動可能限界までの余裕
KAT_OBD_WERT_GESAMT_NV,0x5C55,STAT_KAT-KONVERTIERUNG_BANK_1_UND_BANK_2_WERT,unsigned int,high,-,-,1,16384,0,触媒の変換効率(バンク1+2合計)
ELU_PWM,0x5C58,STAT_ELEKTROLUEFTER_PWM-SIGNAL_WERT,unsigned int,high,%,-,1,1,0,電動ファンのPWM駆動信号(デューティ比)
ELU_FKT_ST,0x5C59,STAT_ELEKTROLUEFTER_FUNKTION_WERT,unsigned int,high,0-n,elu_fkt_equ,1,1,0,電動ファンの機能状態
STAT_SV_REG1,0x5C65,STAT_STATUS_STANDVERBRAUCHER_REGISTRIERT_WERT,unsigned int,high,0-n,svbr_1_equ,1,1,0,暗電流負荷(待機時消費機器)の登録状態
STAT_SV_REG2,0x5C66,STAT_STATUS_STANDVERBRAUCHER_REGISTRIERT_WERT,unsigned int,high,0-n,svbr_2_equ,1,1,0,暗電流負荷(待機時消費機器)の登録状態
T2HISTSHORT,0x5C67,STAT_ZEIT_MIT_RUHESTROM_80_-_200_MA_WERT,unsigned int,high,min,-,224,15,0,暗電流80〜200mA帯での経過時間(履歴)
T3HISTSHORT,0x5C68,STAT_ZEIT_MIT_RUHESTROM_200_-_1000_MA_WERT,unsigned int,high,min,-,224,15,0,暗電流200〜1000mA帯での経過時間(履歴)
T4HISTSHORT,0x5C69,STAT_ZEIT_MIT_RUHESTROM_>1000_MA_WERT,unsigned int,high,min,-,224,15,0,暗電流1000mA超過帯での経過時間(履歴)
U_GEN,0x5C6A,STAT_GENERATORSOLLSPANNUNG_WERT,unsigned int,high,V,-,1,10,0,オルタネーターの目標発電電圧
U_BATT,0x5C6B,STAT_BATTERIESPANNUNG_VOM_IBS_WERT,unsigned int,high,V,-,1,4000,6,バッテリー電圧(インテリジェント・バッテリーセンサー計測)
TN_ABSTELLM,0x5C6C,STAT_MOTORABSTELLZEIT_WERT,unsigned int,high,min,-,1,1,0,エンジン停止からの経過時間
IBSDERRS1,0x5C6D,STAT_FEHLERZAEHLER_IBS_BSD_KOMMUNIKATION_WERT,unsigned int,high,-,-,1,1,0,IBS(バッテリーセンサー)とのBSD通信エラーカウンタ
IBSDERRS2,0x5C6E,STAT_FEHLERZAEHLER_IBS_EBSD_KOMMUNIKATION_WERT,unsigned int,high,-,-,1,1,0,IBSとのEBSD通信エラーカウンタ
SLS_OBD_MAX,0x5C6F,STAT_MAXWERT_FUER_OBD-SEKUNDAERLUFT_WERT,signed int,high,-,-,1,1,0,二次空気システムOBD診断の上限しきい値
PABG_B1_DIF,0x5C70,STAT_RELATIVER_ABGASGEGENDRUCK_BANK_1_WERT,signed int,high,mbar,-,1,16,0,排気背圧の相対値(バンク1)
N_VAN_B1,0x5C72,STAT_EINLASS_NOCKENWELLEN-DREHZAHL_BANK_1_WERT,signed int,high,U/min,-,1,1,0,吸気カムシャフト回転数(バンク1)
N_VAN_B2,0x5C73,STAT_EINLASS_NOCKENWELLEN-DREHZAHL_BANK_2_WERT,signed int,high,U/min,-,1,1,0,吸気カムシャフト回転数(バンク2)
LSHVK_R_AD_GAIN_B1,0x5C74,STAT_ADAPTIONSFAKTOR_LAMBDASONDEN_INNENWIDERSTAND_BANK_1_WERT,unsigned int,high,-,-,1,1024,0,O2センサー内部抵抗の学習係数(バンク1)
LSHVK_R_AD_GAIN_B2,0x5C75,STAT_ADAPTIONSFAKTOR_LAMBDASONDEN_INNENWIDERSTAND_BANK_2_WERT,unsigned int,high,-,-,1,1024,0,O2センサー内部抵抗の学習係数(バンク2)
DMTL_ST,0x5C7A,STAT_TANKLECK_STATUS_WERT,unsigned int,high,0-n,dmtl_st_equ,1,1,0,燃料タンクリーク診断の状態
T_DIODE,0x5C7C,STAT_GENERATORDIODENTEMPERATUR_WERT,signed int,high,°C,-,1,10,0,オルタネーターのダイオード温度
MD_GENNM,0x5C7D,STAT_GEFILTERTES_GENERATORMOMENT_ABSOLUT_(AUSGANG)_WERT,signed int,high,Nm,-,1,10,0,オルタネーター負荷トルク(フィルタ後、出力側絶対値)
I_GEN,0x5C7E,STAT_GENERATORSTROM_WERT,signed int,high,A,-,1,1,0,オルタネーターの出力電流
TGEN_END,0x5C7F,STAT_GENERATORTEMPERATUR_WERT,signed int,high,°C,-,1,10,0,オルタネーターの温度
I_BATT,0x5C80,STAT_BATTERIESTROM_VON_IBS_GEMESSEN_WERT,signed int,high,A,-,2,25,-200,バッテリー電流(IBS計測)
T_BATT_IBS,0x5C81,STAT_BATTERIETEMPERATUR_WERT,signed int,high,°C,-,1,10,0,バッテリー温度(IBS計測)
KVA_Q_MOT,0x5C82,STAT_KRAFTSTOFFVERBRAUCH_MOTOR_WERT,signed int,high,l/h,-,1,8,0,エンジンの燃料消費量
SL_ML_MAX,0x5C84,STAT_SEKUNDAERER_MAX__LUFTMASSENSTROM_WERT,signed int,high,-,-,1,10,0,二次空気システムの最大空気流量
SL_ML_HFM_AD,0x5C85,STAT_SEKUNDAERLUFT_ANALOG-/DIGITALWANDLER-WERT_HFM_WERT,signed int,high,-,-,1,1,0,二次空気系エアフロメーターのAD変換値
TI_OUT_ZYL1,0x5C86,STAT_AUSGEGEBENE_EINSPRITZZEIT_ZYLINDER_1_WERT,unsigned int,high,ms,-,1,1000,0,気筒1の実噴射時間
TI_OUT_ZYL2,0x5C87,STAT_AUSGEGEBENE_EINSPRITZZEIT_ZYLINDER_2_WERT,unsigned int,high,ms,-,1,1000,0,気筒2の実噴射時間
TI_OUT_ZYL3,0x5C88,STAT_AUSGEGEBENE_EINSPRITZZEIT_ZYLINDER_3_WERT,unsigned int,high,ms,-,1,1000,0,気筒3の実噴射時間
TI_OUT_ZYL4,0x5C89,STAT_AUSGEGEBENE_EINSPRITZZEIT_ZYLINDER_4_WERT,unsigned int,high,ms,-,1,1000,0,気筒4の実噴射時間
TI_OUT_ZYL5,0x5C8A,STAT_AUSGEGEBENE_EINSPRITZZEIT_ZYLINDER_5_WERT,unsigned int,high,ms,-,1,1000,0,気筒5の実噴射時間
TI_OUT_ZYL6,0x5C8B,STAT_AUSGEGEBENE_EINSPRITZZEIT_ZYLINDER_6_WERT,unsigned int,high,ms,-,1,1000,0,気筒6の実噴射時間
TI_OUT_ZYL7,0x5C8C,STAT_AUSGEGEBENE_EINSPRITZZEIT_ZYLINDER_7_WERT,unsigned int,high,ms,-,1,1000,0,気筒7の実噴射時間
TI_OUT_ZYL8,0x5C8D,STAT_AUSGEGEBENE_EINSPRITZZEIT_ZYLINDER_8_WERT,unsigned int,high,ms,-,1,1000,0,気筒8の実噴射時間
TI_OUT_ZYL9,0x5C8E,STAT_AUSGEGEBENE_EINSPRITZZEIT_ZYLINDER_9_WERT,unsigned int,high,ms,-,1,1000,0,気筒9の実噴射時間
TI_OUT_ZYL10,0x5C8F,STAT_AUSGEGEBENE_EINSPRITZZEIT_ZYLINDER_10_WERT,unsigned int,high,ms,-,1,1000,0,気筒10の実噴射時間
TI_MKS_SOLL_ZYL1,0x5C90,STAT_SOLL-EINSPRITZMASSE_ZYLINDER_1_WERT,unsigned int,high,mg,-,1,64,0,気筒1の目標噴射量
TI_MKS_SOLL_ZYL6,0x5C91,STAT_SOLL-EINSPRITZMASSE_ZYLINDER_6_WERT,unsigned int,high,mg,-,1,64,0,気筒6の目標噴射量
WF_MKS_ZYL1,0x5C92,STAT_KRAFTSTOFFMASSE_AUS_WANDFILMMODELL_ZYLINDER_1_WERT,signed int,high,mg,-,1,64,0,壁面付着燃料(ウォールフィルム)モデルによる気筒1の燃料質量
WF_MKS_ZYL6,0x5C93,STAT_KRAFTSTOFFMASSE_AUS_WANDFILMMODELL_ZYLINDER_6_WERT,signed int,high,mg,-,1,64,0,壁面付着燃料モデルによる気筒6の燃料質量
WF_MKS_REL_1OF2_1OF5_,0x5C94,STAT_RELATIVER_EINGRIFF_D__WANDFILM-MODELLS_ZYLINDER_1_WERT,unsigned int,high,-,-,1,1024,0,ウォールフィルムモデルによる気筒1補正の相対介入量
WF_MKS_REL_2OF2_1OF5_,0x5C95,STAT_RELATIVER_EINGRIFF_D__WANDFILM-MODELLS_ZYLINDER_6_WERT,unsigned int,high,-,-,1,1024,0,ウォールフィルムモデルによる気筒6補正の相対介入量
WF_IST_ZYL1,0x5C98,STAT_WANDFILMISTMENGE_ZYLINDER_1_WERT,unsigned int,high,mg,-,1,32,0,気筒1の実ウォールフィルム量
WF_IST_ZYL6,0x5C99,STAT_WANDFILMISTMENGE_ZYLINDER_6_WERT,unsigned int,high,mg,-,1,32,0,気筒6の実ウォールフィルム量
VAN_I_E1,0x5C9E,STAT_VANOS_VENTIL-STROM_EINLASS_BANK_1_WERT,signed int,high,mA,-,1,1,0,VANOSソレノイドバルブ電流(吸気、バンク1)
VAN_I_A1,0x5C9F,STAT_VANOS_VENTIL-STROM_AUSLASS_BANK_1_WERT,signed int,high,mA,-,1,1,0,VANOSソレノイドバルブ電流(排気、バンク1)
VAN_I_E2,0x5CA0,STAT_VANOS_VENTIL-STROM_EINLASS_BANK_2_WERT,signed int,high,mA,-,1,1,0,VANOSソレノイドバルブ電流(吸気、バンク2)
VAN_I_A2,0x5CA1,STAT_VANOS_VENTIL-STROM_AUSLASS_BANK_2_WERT,signed int,high,mA,-,1,1,0,VANOSソレノイドバルブ電流(排気、バンク2)
CAN_FST_LI,0x5CA2,STAT_FUELLSTAND_TANK-LINKS_WERT,unsigned int,high,l,-,1,2,0,燃料タンク左側の残量
CAN_FST_RE,0x5CA3,STAT_FUELLSTAND_TANK-RECHTS_WERT,unsigned int,high,l,-,1,2,0,燃料タンク右側の残量
N_BEGR_TI,0x5CA4,STAT_DREHZAHLBEGRENZER_UEBER_EINSPRITZUNG_WERT,signed int,high,Upm,-,1,1,0,噴射カットによる回転数リミッター作動状態
LA_TRIM_LAM_SOLL_B1,0x5CA6,STAT_LAMBDA-SOLLWERT-OFFSET_DER_TRIMMREGELUNG_BANK_1_WERT,signed int,high,-,-,1,16384,0,触媒後ラムダ トリム制御による目標値オフセット(バンク1)
LA_TRIM_LAM_SOLL_B2,0x5CA7,STAT_LAMBDA-SOLLWERT-OFFSET_DER_TRIMMREGELUNG_BANK_2_WERT,signed int,high,-,-,1,16384,0,触媒後ラムダ トリム制御による目標値オフセット(バンク2)
LA_TRIM_I_B1,0x5CA8,STAT_WIRKENDER_I-ANTEIL_DER_TRIMMREGELUNG_BANK_1_WERT,signed int,high,-,-,1,16384,0,触媒後ラムダ トリム制御の実効I(積分)成分(バンク1)
LA_TRIM_I_B2,0x5CA9,STAT_WIRKENDER_I-ANTEIL_DER_TRIMMREGELUNG_BANK_2_WERT,signed int,high,-,-,1,16384,0,触媒後ラムダ トリム制御の実効I(積分)成分(バンク2)
LA_TRIM_I_GMW_B1,0x5CAA,STAT_GEMITTELTER_I-ANTEIL_DER_TRIMMREGELUNG_BANK_1_WERT,signed int,high,-,-,1,16384,0,触媒後ラムダ トリム制御I成分の平均値(バンク1)
LA_TRIM_I_GMW_B2,0x5CAB,STAT_GEMITTELTER_I-ANTEIL_DER_TRIMMREGELUNG_BANK_2_WERT,signed int,high,-,-,1,16384,0,触媒後ラムダ トリム制御I成分の平均値(バンク2)
LA_TRIM_I_AD_NV_B1,0x5CAC,STAT_ADAPTIERTER_I-ANTEIL_DER_TRIMMREGELUNG_BANK_1_WERT,signed int,high,-,-,1,16384,0,触媒後ラムダ トリム制御の学習積分(I)成分(バンク1)
LA_TRIM_I_AD_NV_B2,0x5CAD,STAT_ADAPTIERTER_I-ANTEIL_DER_TRIMMREGELUNG_BANK_2_WERT,signed int,high,-,-,1,16384,0,触媒後ラムダ トリム制御の学習積分(I)成分(バンク2)
LA_TRIM_P_F_B1,0x5CAE,STAT_REINER_P-ANTEIL_DER_TRIMMREGELUNG_BANK_1_WERT,unsigned int,high,-,-,1,16384,0,触媒後ラムダ トリム制御の純P(比例)成分(バンク1)
LA_TRIM_P_F_B2,0x5CAF,STAT_REINER_P-ANTEIL_DER_TRIMMREGELUNG_BANK_2_WERT,unsigned int,high,-,-,1,16384,0,触媒後ラムダ トリム制御の純P(比例)成分(バンク2)
LA_TRIM_US_DIFF_B1,0x5CB0,STAT_DIFFERENZ_DER_SONDENSPANNUNG_NACH_KAT_IST_ZU_SOLL_BANK_1_WERT,signed int,high,mV,-,5000,1024,0,触媒後センサー電圧の実測値と目標値の差(バンク1)
LA_TRIM_US_DIFF_B2,0x5CB1,STAT_DIFFERENZ_DER_SONDENSPANNUNG_NACH_KAT_IST_ZU_SOLL_BANK_2_WERT,signed int,high,mV,-,5000,1024,0,触媒後センサー電圧の実測値と目標値の差(バンク2)
LA_TRIM_USN_AEBG_B1,0x5CB2,STAT_AENDERUNGSBEGRENZTE_SOLL-SONDENSPANNUNG_NACH_KAT_BANK_1_WERT,unsigned int,high,mV,-,5000,1024,0,触媒後センサーの目標電圧(変化率制限後、バンク1)
LA_TRIM_USN_AEBG_B2,0x5CB3,STAT_AENDERUNGSBEGRENZTE_SOLL-SONDENSPANNUNG_NACH_KAT_BANK_2_WERT,unsigned int,high,mV,-,5000,1024,0,触媒後センサーの目標電圧(変化率制限後、バンク2)
ELUP_ST,0x5CB4,STAT_BETRIEB_ELEKTRISCHE_UNTERDRUCKPUMPE_WERT,unsigned int,high,-,-,1,1,0,電動負圧ポンプの動作状態
MVAC_ML_SR,0x5CB5,STAT_LUFTMASSENSTROM_SAUGROHR_ZU_MASTERVAC_BANK_2_WERT,signed int,high,kg/h,-,1,10,0,インマニからブレーキブースターへの空気流量(バンク2)
PUMG_ROH,0x5CB6,STAT_UMGEBUNGSDRUCK_ROHWERT_SENSOR_WERT,signed int,high,mbar,-,1,16,0,外気圧センサーの生値
PUMG_OBD_MODELL_MW,0x5CB7,STAT_UMGEBUNGSDRUCK_MITTELWERT_MODELL_WERT,signed int,high,mbar,-,1,16,0,外気圧モデル推定の平均値
PUMG_OBD_FILTER,0x5CB8,STAT_UMGEBUNGSDRUCK_GRADIENTENBASIERT_WERT,signed int,high,mbar,-,1,16,0,外気圧(変化率ベースのフィルタ値)
TE_C_AKF,0x5CBA,STAT_TANKENTLUEFTUNG_-_KONZENTRATION_AKTIVKOHLEFILTEER_WERT,unsigned int,high,-,-,1,16384,0,燃料蒸発ガスパージ:キャニスター内の推定燃料濃度
KATS_NKAT_T_NV_B1,0x5CBE,STAT_ZEIT_IM_KATSCHUTZ_WEGEN_NACH_KAT-TEMPERERATUR_BANK_1_WERT,unsigned int,high,s,-,1,10,0,触媒後温度による触媒保護モード継続時間(バンク1)
KATS_NKAT_T_NV_B2,0x5CBF,STAT_ZEIT_IM_KATSCHUTZ_WEGEN_NACH_KAT-TEMPERERATUR_BANK_2_WERT,unsigned int,high,s,-,1,10,0,触媒後温度による触媒保護モード継続時間(バンク2)
KATS_MDL_T_NV_B1,0x5CC0,STAT_ZEIT_IM_KATSCHUTZ_WEGEN_MODELLTEMPERERATUR_BANK_1_WERT,unsigned int,high,s,-,1,10,0,モデル温度による触媒保護モード継続時間(バンク1)
KATS_MDL_T_NV_B2,0x5CC1,STAT_ZEIT_IM_KATSCHUTZ_WEGEN_MODELLTEMPERERATUR_BANK_2_WERT,unsigned int,high,s,-,1,10,0,モデル温度による触媒保護モード継続時間(バンク2)
KATS_VKAT_T_NV_B1,0x5CC2,STAT_ZEIT_IM_KATSCHUTZ_WEGEN_VOR_KAT-TEMPERERATUR_BANK_1_WERT,unsigned int,high,s,-,1,10,0,触媒前温度による触媒保護モード継続時間(バンク1)
KATS_VKAT_T_NV_B2,0x5CC3,STAT_ZEIT_IM_KATSCHUTZ_WEGEN_VOR_KAT-TEMPERERATUR_BANK_2_WERT,unsigned int,high,s,-,1,10,0,触媒前温度による触媒保護モード継続時間(バンク2)
SCHALTER_KUPP_AD,0x5CC4,STAT_KUPPLUNGSSCHALTER_-_ANALOG-/DIGITALWANDLER-WERT_WERT,signed int,high,-,-,1,1,0,クラッチスイッチのAD変換値
SCHALTER_GETR_AD,0x5CC5,STAT_GETRIEBELEERGASSENSCHALTER_-_ANALOG-/DIGITALWANDLER-WERT_WERT,signed int,high,-,-,1,1,0,トランスミッション ニュートラルスイッチのAD変換値
OZ_NIVR,0x5CDF,STAT_ROHWERT_OELNIVEAUMESSUNG_VOM_SENSOR_WERT,unsigned int,high,mm,-,100,337,0,オイルレベルセンサーの生値
N_GETR_EIN_HS,0x5F46,STAT_GETRIEBEEINGANGSDREHZAHL_HANDSCHALTGETRIEBE_WERT,signed int,high,U/min,-,1,1,0,MT(マニュアルトランスミッション)の入力軸回転数
AFZ,0x5F48,STAT_BESCHLEUNIGUNG_FAHRZEUG_-_SENSOR_WERT,signed int,high,m/s*s,-,1,40,0,車両加速度センサーの値
AUSS_ERK_NS,0x5F49,STAT_ZUSTANDSVARIABLE_NEBENSCHLUSS_WERT,unsigned int,high,-,-,1,1,0,失火検知:配線短絡(バイパス)の状態変数
AUSS_ERK_TI,0x5F4A,STAT_ZUSTANDSVARIABLE_VERBRENNUNGSAUSSETZER_WERT,unsigned int,high,-,-,1,1,0,燃焼失火の検知状態変数
AUSS_ERK_TZ,0x5F4B,STAT_ZUSTANDSVARIABLE_ZUENDERKENNUNG_WERT,unsigned int,high,-,-,1,1,0,点火検知ロジックの状態変数
LLR_AD_MD_AC,0x5F4C,STAT_LEERLAUFREGLERADAPTION_KLIMAANTEIL_WERT,signed int,high,Nm,-,1,10,0,アイドル制御学習値(エアコン負荷分)
LLR_AD_MD,0x5F4D,STAT_LEERLAUFREGLERADAPTION_NORMALANTEIL_WERT,signed int,high,Nm,-,1,10,0,アイドル制御学習値(通常分)
LLR_AD_ZUSTAND,0x5F4E,STAT_LEERLAUFREGLERADAPTION_ZUSTAND_WERT,unsigned int,high,0-n,llr_ad_equ,1,1,0,アイドル制御学習の状態
LLR_MD_TZ,0x5F4F,STAT_LEERLAUFREGLER_ZUENDWINKELEINGRIFF_WERT,signed int,high,Nm,-,1,10,0,アイドル制御による点火時期介入トルク
LLR_MD_I,0x5F50,STAT_LEERLAUFREGLER_I-ANTEIL_WERT,signed int,high,Nm,-,1,10,0,アイドル制御の積分(I)成分トルク
LLR_N_DIFF,0x5F51,STAT_LEERLAUFREGELDIFFERENZ_WERT,signed int,high,U/min,-,1,1,0,アイドル回転数の目標値との偏差
MD_IND_ML_ST,0x5F52,STAT_MOMENTENFUEHRUNG_LUFTPFAD_WERT,unsigned int,high,0-n,eingr_equ,1,1,0,トルクマネジメント:空気系経路の介入状態
MD_IND_TZ_ST,0x5F53,STAT_MOMENTENFUEHRUNG_ZUENDWINKEL_WERT,unsigned int,high,0-n,eingr_equ,1,1,0,トルクマネジメント:点火時期経路の介入状態
MD_TZ_EINGR_AKTIV,0x5F54,STAT_STATUS_ZUENDWINKELEINGRIFF_WERT,unsigned int,high,-,-,1,1,0,点火時期介入の有効状態
MD_KUPP_WUNSCH,0x5F55,STAT_FAHRERWUNSCHMOMENT_WERT,signed int,high,Nm,-,1,10,0,ドライバー要求トルク(アクセル操作から算出)
MD_RF_SOLL_PT_RG_FR_B1,0x5F56,STAT_KORRIGIERTE_SOLLFUELLUNG_BANK_1_WERT,signed int,high,-,-,1,10000,0,補正後の目標充填率(バンク1)
MD_RF_SOLL_PT_RG_FR_B2,0x5F57,STAT_KORRIGIERTE_SOLLFUELLUNG_BANK_2_WERT,signed int,high,-,-,1,10000,0,補正後の目標充填率(バンク2)
MD_RES,0x5F58,STAT_MOMENTENRESERVE_WERT,signed int,high,Nm,-,1,10,0,トルクリザーブ(点火時期での即応予備トルク)
MD_KUPP_MIN_FILTER,0x5F59,STAT_MINIMALES_KUPPLUNGSMOMENT_WERT,signed int,high,Nm,-,1,10,0,クラッチの最小伝達トルク
FR_REG_OUT_B1,0x5F5A,STAT_FUELLUNGSREGLER_BANK_1_WERT,unsigned int,high,-,-,1,32768,0,充填率制御の出力値(バンク1)
FR_REG_OUT_B2,0x5F5B,STAT_FUELLUNGSREGLER_BANK_2_WERT,unsigned int,high,-,-,1,32768,0,充填率制御の出力値(バンク2)
TZ_VE_ZYL1,0x5F5D,STAT_ZUENDWINKEL_ZYL__1_VE_WERT,signed int,high,°KW,-,1,10,0,気筒1の点火時期(事前計算・VE値)
TZ_VE_ZYL6,0x5F5E,STAT_ZUENDWINKEL_ZYL__6_VE_WERT,signed int,high,°KW,-,1,10,0,気筒6の点火時期(事前計算・VE値)
TZ_ZYL1,0x5F5F,STAT_ZUENDWINKEL_ZYL__1_WERT,signed int,high,°KW,-,1,10,0,気筒1の実点火時期
TZ_ZYL6,0x5F60,STAT_ZUENDWINKEL_ZYL__6_WERT,signed int,high,°KW,-,1,10,0,気筒6の実点火時期
TUMG_OBD_ST,0x5F61,STAT_STEUERVARIABLE_UMGEBUNGSTEMPERATUR-DIAGNOSE_WERT,unsigned int,high,0-n,tumg_obd_equ,1,1,0,外気温センサー診断の制御変数
SMG_CAN_N_GETR_ZIEL,0x5F65,STAT_GETRIEBEZIELDREHZAHL_WERT,signed int,high,U/min,-,1,1,0,SMG(自動MT)の目標変速機回転数
EGAS_DK_B1_FAIL_ST,0x5F69,STAT_DROSSELKLAPPE_FEHLERSTATUS_BANK_1_WERT,unsigned int,high,0-n,egas_fail_equ,1,1,0,スロットルバルブの故障状態(バンク1)
EGAS_DK_B2_FAIL_ST,0x5F6A,STAT_DROSSELKLAPPE_FEHLERSTATUS_BANK_2_WERT,unsigned int,high,0-n,egas_fail_equ,1,1,0,スロットルバルブの故障状態(バンク2)
EGAS_LLS_B1_FAIL_ST,0x5F6B,STAT_LLS_FEHLERSTATUS_BANK_1_WERT,unsigned int,high,0-n,egas_fail_equ,1,1,0,アイドルアクチュエータの故障状態(バンク1)
EGAS_LLS_B2_FAIL_ST,0x5F6C,STAT_LLS_FEHLERSTATUS_BANK_2_WERT,unsigned int,high,0-n,egas_fail_equ,1,1,0,アイドルアクチュエータの故障状態(バンク2)
EGAS_SK_B1_FZUST_DK,0x5F6D,STAT_DROSSELKLAPPE_FEHLERZUSTAND_BANK_1_WERT,unsigned int,high,0-n,egas_fz_equ,1,1,0,スロットルバルブのセーフティ監視による故障状態(バンク1)
EGAS_SK_B2_FZUST_DK,0x5F6E,STAT_DROSSELKLAPPE_FEHLERZUSTAND_BANK_2_WERT,unsigned int,high,0-n,egas_fz_equ,1,1,0,スロットルバルブのセーフティ監視による故障状態(バンク2)
EGAS_SK_B1_ZUST_DK,0x5F6F,STAT_DROSSELKLAPPE_UEBERWACHUNG_BANK_1_WERT,unsigned int,high,0-n,egas_sk_equ,1,1,0,スロットルバルブの監視(モニタリング)状態(バンク1)
EGAS_SK_B2_ZUST_DK,0x5F70,STAT_DROSSELKLAPPE_UEBERWACHUNG_BANK_2_WERT,unsigned int,high,0-n,egas_sk_equ,1,1,0,スロットルバルブの監視(モニタリング)状態(バンク2)
EGAS_SK_B1_ZUST_LLS,0x5F71,STAT_LLS_UEBERWACHUNG_BANK_1_WERT,unsigned int,high,0-n,egas_sk_equ,1,1,0,アイドルアクチュエータの監視状態(バンク1)
EGAS_SK_B2_ZUST_LLS,0x5F72,STAT_LLS_UEBERWACHUNG_BANK_2_WERT,unsigned int,high,0-n,egas_sk_equ,1,1,0,アイドルアクチュエータの監視状態(バンク2)
KR_DTZ_ZYL1,0x5F87,STAT_ZUENDWINKELEINGRIFF_KLOPFREGELUNG_ZYL__1_WERT,signed int,high,°KW,-,1,10,0,気筒1のノックコントロールによる点火時期介入量
KR_DTZ_ZYL2,0x5F88,STAT_ZUENDWINKELEINGRIFF_KLOPFREGELUNG_ZYL__2_WERT,signed int,high,°KW,-,1,10,0,気筒2のノックコントロールによる点火時期介入量
KR_DTZ_ZYL3,0x5F89,STAT_ZUENDWINKELEINGRIFF_KLOPFREGELUNG_ZYL__3_WERT,signed int,high,°KW,-,1,10,0,気筒3のノックコントロールによる点火時期介入量
